epoch,train_loss,val_loss,train_acc,val_acc
1,0.25704505162496794,0.1255541301711842,0.8933880061506919,0.9605263157894737
2,0.1628108914697268,0.09033399778504476,0.9379805228088159,0.9784688995215312
3,0.12459715171793445,0.09554935814554079,0.9582265504869297,0.972488038277512
4,0.12299931119196117,0.09534884908417654,0.9595079446437724,0.9832535885167464
5,0.10063559686398653,0.0690102935887235,0.9687339825730394,0.9844497607655502
6,0.08545534484485379,0.06740637763006682,0.9736032803690415,0.9868421052631579
7,0.08036419937814601,0.06653474372190733,0.9753972321886212,0.9880382775119617
8,0.07462206455978153,0.06534662109657398,0.9753972321886212,0.9880382775119617
9,0.06958482632428774,0.07989844641620207,0.9792414146591492,0.9844497607655502
10,0.07093528866935826,0.07359196082311596,0.9807790876473603,0.9856459330143541
11,0.07312748453305026,0.07265384761073317,0.978216299333675,0.9880382775119617
