epoch,train_loss,val_loss,train_acc,val_acc
1,0.4087937987241589,0.39828386847619657,0.863403382880574,0.8588516746411483
2,0.3969458681149561,0.39821802521193467,0.8669912865197335,0.8588516746411483
3,0.39524255412035303,0.3987262149651845,0.8669912865197335,0.8588516746411483
4,0.3946000564782346,0.3980264382229911,0.8669912865197335,0.8588516746411483
5,0.3929748725695688,0.3944116411385713,0.8669912865197335,0.8588516746411483
6,0.2690803169532389,0.23585517390596647,0.8800615069195284,0.8253588516746412
7,0.22636979357263104,0.1838367148819897,0.8805740645822655,0.9114832535885168
8,0.177815032909151,0.17505461031881472,0.9049205535622757,0.9449760765550239
9,0.16229088668574077,0.1661994250284301,0.9174782162993337,0.9210526315789473
10,0.15358968950487428,0.16335511123071667,0.9218349564325987,0.9246411483253588
11,0.14256798204217777,0.14926914744837969,0.9290107637109175,0.937799043062201
12,0.15332226696439455,0.1668403462368857,0.9156842644797539,0.9234449760765551
