epoch,train_loss,val_loss,train_acc,val_acc
1,0.41376114233595424,0.3993849461829221,0.8646847770374168,0.8588516746411483
2,0.3967295257283039,0.39870969895963315,0.8669912865197335,0.8588516746411483
3,0.3967269164372663,0.3989976644515991,0.8669912865197335,0.8588516746411483
4,0.39824840719582605,0.3989684013304887,0.8669912865197335,0.8588516746411483
5,0.3957343480137528,0.39856523440943825,0.8669912865197335,0.8588516746411483
6,0.3953613287112752,0.39843670692708755,0.8669912865197335,0.8588516746411483
7,0.39630763928909774,0.3988783525096046,0.8669912865197335,0.8588516746411483
8,0.39557362909688326,0.398338062343774,0.8669912865197335,0.8588516746411483
9,0.39392905706753495,0.39832869944749055,0.8669912865197335,0.8588516746411483
10,0.39547753529470475,0.39812220357082506,0.8669912865197335,0.8588516746411483
11,0.3958861356387373,0.39832960455505934,0.8669912865197335,0.8588516746411483
12,0.39510860013180094,0.39825067862316416,0.8669912865197335,0.8588516746411483
