epoch,train_loss,val_loss,train_acc,val_acc
1,0.2601592200273862,0.10670444793585274,0.8908252178370066,0.972488038277512
2,0.1810246834867313,0.0933930018864986,0.9346488980010251,0.9760765550239234
3,0.1437969072263871,0.08291244388695944,0.9487442337262942,0.9796650717703349
4,0.1320318607079079,0.07838891829467481,0.9531009738595592,0.9844497607655502
5,0.09774040720104928,0.07706872984784206,0.9664274730907227,0.9844497607655502
6,0.10328597859784838,0.06917042600387638,0.9669400307534598,0.9856459330143541
7,0.09649054019437095,0.06992016819788625,0.9682214249103024,0.9868421052631579
8,0.09344913977289908,0.0577709254230959,0.9728344438749359,0.9892344497607656
9,0.07901378317934568,0.07270288788627281,0.9769349051768323,0.9868421052631579
10,0.0840373466508921,0.08719553078117315,0.9753972321886212,0.9844497607655502
11,0.06784180338975408,0.08929864530768504,0.9789851358277806,0.9844497607655502
